CASEID,W1_CASEID,W2_CASEID2,W1_F3,W1_F4_B,W1_F4_D,W1_F5_A,W1_F6,PPAGECAT,PPGENDER,PPMARIT,PPINCIMP,PPETHM
119,125,1340,6,2,4,4,7,1,2,5,10,1
120,126,266,3,2,1,2,6,5,1,1,18,1
121,127,112,3,1,2,1,8,2,2,5,4,2
122,128,904,3,1,1,1,7,6,1,1,8,1
123,129, ,4,1,1,1,4,2,2,5,4,2
124,130,843,7,2,2,3,7,3,1,5,3,2
125,131, ,1,3,1,3,7,2,2,6,1,2
126,132, ,7,1,1,1,5,3,2,1,18,2
127,133, ,1,4,4,4,9,2,2,5,7,2
128,134,506,1,2,2,3,9,6,2,1,13,1
129,135, ,4,1,1,2,5,1,2,5,1,2
130,136,177,2,1,1,2,7,5,1,6,13,4
131,137, ,5,2,1,1,4,1,2,5,6,2
132,138,170,3,2,2,3,10,5,2,3,18,2
133,139,243,2,2,2,2,6,6,1,5,15,1
134,140, ,2,3,3,2,10,5,1,1,16,2
135,141,349,3,1,1,1,6,1,2,1,9,2
136,142, ,3,2,2,3,5,5,2,2,7,2
137,143,426,7,3,2,2,9,5,1,3,9,2
138,144,721,3,2,1,2,5,2,1,6,11,1
139,145,121,6,2,1,2,3,1,2,5,11,2
140,146,59,4,1,1,2,3,6,2,5,12,2
141,147,1354,3,2,2,2,6,4,2,1,16,1
142,148,912,3,1,1,2,7,5,1,1,15,2
143,149, ,1,3,3,3,7,2,1,3,13,1
144,150,603,5,1,1,2,5,4,1,5,7,2
145,151,584,7,1,1,1,1,2,2,1,9,1
146,152, ,2,2,2,3,10,4,1,1,18,2
147,153,1393,1,3,3,3,10,7,1,1,12,2
148,154,16,2,2,1,4,10,4,1,1,19,1
149,155,115,2,4,1,2,7,7,2,2,7,1
150,156, ,6,2,1,2,7,4,1,5,13,2
151,157, ,1,3,2,4,9,2,2,5,1,2
152,158, ,2,3,2,3,8,5,1,3,14,1
153,159, ,1,3,3,4,9,5,2,1,17,1
154,160, ,2,1,1,2,2,3,1,1,11,1
155,161,206,5,2,1,2,6,4,1,5,14,3
156,162, ,3,1,1,1,5,6,2,1,12,1
157,163,740,3,1,1,1,3,3,1,5,2,1
158,164,799,3,1,1,2,6,5,2,1,9,1
159,165,763,4,1,1,3,8,5,2,3,12,2
160,166,613,1,3,3,2,9,7,1,1,14,1
161,167, ,2,2,1,3,7,1,2,1,12,4
162,168,1576,6,1,1,2,7,5,1,6,5,2
163,169,914,3,3,2,3,8,7,2,1,11,5
164,170, ,1,1,1,2,5,5,1,1,2,2
165,171, ,2,2,2,2,8,6,2,2,9,1
166,172,1244,2,2,1,3,6,5,1,1,17,2
167,173,104,4,3,2,3,7,4,1,1,16,1
168,175,187,-1,2,1,1,10,7,1,1,16,1
169,176,991,2,3,2,3,5,1,2,6,15,2
170,177, ,2,1,2,2,8,3,1,1,13,1
171,178,276,2,3,2,3,9,5,2,1,17,2
172,179, ,2,2,1,3,7,6,1,1,14,2
173,180,1568,2,1,1,-1,7,5,2,3,13,1
174,181,1234,6,3,2,2,9,5,2,5,4,2
175,182,781,3,1,1,2,4,5,2,1,9,1
176,183,154,5,1,1,1,5,2,2,6,4,2
177,184, ,2,2,2,3,8,1,2,6,17,2
178,185,99,1,2,2,4,10,7,1,1,10,1
179,186,10,3,2,2,2,8,6,1,5,13,2
180,188,659,2,2,1,2,7,5,2,3,17,1
181,189,911,2,1,2,3,4,4,2,3,17,2
182,190,652,5,1,1,1,5,3,2,1,15,5
183,191,934,2,2,2,3,6,2,2,1,17,2
184,192,267,-1,-1,-1,2,5,5,1,4,13,2
185,193, ,2,3,3,2,10,7,1,1,13,1
186,194, ,3,2,1,2,5,2,2,5,6,2
187,195, ,2,3,2,4,7,3,1,5,4,2
188,196,1189,7,1,-1,4,1,4,2,5,6,1
189,197,43,2,2,2,1,10,6,2,1,12,1
190,198,1020,2,1,1,1,5,5,1,1,11,1
191,199,966,4,-1,-1,-1,-1,5,2,3,7,2
192,200, ,4,3,1,1,5,1,2,1,11,2
193,201,178,6,1,1,2,5,6,2,2,11,1
194,202,956,2,2,1,2,6,2,1,5,4,1
195,203, ,2,3,2,2,6,2,2,5,15,2
196,204,923,4,2,2,4,7,1,1,5,1,2
197,205,261,1,2,1,1,1,5,2,5,14,2
198,206,634,2,2,2,2,9,4,1,1,14,2
199,207,626,3,1,1,2,6,3,2,1,15,1
200,208,997,2,2,2,3,7,2,2,5,13,2
201,209,677,6,3,3,3,9,6,1,1,15,1
202,210,868,2,3,3,3,9,3,1,1,18,1
203,211,609,1,4,1,2,3,4,1,1,11,2
204,212, ,4,2,1,2,5,3,1,6,14,3
205,213,1259,2,1,1,2,7,5,1,3,13,1
206,214,610,2,2,2,3,8,3,2,1,14,1
207,215,863,3,2,1,3,7,2,2,1,19,1
208,216,797,1,4,4,4,5,1,1,5,16,5
209,217,1413,2,3,3,4,8,6,2,1,16,1
210,218,439,2,1,1,3,6,2,2,5,9,2
211,219,747,1,1,1,2,8,4,2,1,12,2
212,220,191,3,2,1,2,6,6,1,1,15,1
213,221,18,3,2,3,-1,5,1,2,5,12,2
214,222, ,4,3,3,2,7,5,2,5,11,2
215,223,405,6,2,1,1,4,6,2,1,4,1
216,224,542,4,2,2,2,8,1,1,5,7,2
217,225,594,2,4,1,3,7,6,1,1,9,1
218,227,363,2,3,2,2,8,6,1,1,13,1
219,228,517,1,1,1,1,7,1,1,5,2,2
220,230,1151,5,2,2,2,10,4,2,1,17,1
221,231,1451,7,2,1,2,6,1,2,1,15,1
222,232, ,5,3,2,2,10,5,1,1,19,1
223,233,484,3,1,1,2,8,4,1,1,13,2
224,234,411,2,2,1,3,8,5,1,3,14,2
225,235, ,2,4,2,3,7,7,1,1,4,2
226,236,325,3,2,1,2,5,5,2,1,16,1
227,237, ,2,3,1,2,6,1,2,1,10,1
228,238,985,5,4,4,4,10,3,1,1,13,4
229,239,798,4,2,1,2,10,7,2,2,5,1
230,240,402,5,1,1,3,4,4,2,3,13,2
231,241,1063,2,2,1,1,4,5,1,1,11,1
232,242,648,2,3,2,3,8,3,1,1,15,1
233,243, ,-1,-1,-1,-1,-1,1,2,1,1,2
234,244,286,3,2,1,2,6,3,2,6,10,2
235,245,1642,6,3,3,1,8,5,2,1,18,1
236,246,298,3,2,1,3,8,5,1,1,12,2
237,247,832,2,2,1,1,7,7,2,2,6,1
238,248, ,2,2,2,1,5,4,2,1,15,2
239,249,1011,2,1,1,4,7,2,1,1,13,2
240,250,2,4,2,2,2,5,2,1,1,11,1
241,251,1202,1,1,1,2,3,4,2,5,1,2
242,252,1002,1,3,2,4,8,3,2,1,10,2
243,253,1654,2,1,1,1,8,3,1,1,15,2
244,254,1249,4,2,3,2,7,2,1,5,3,2
